customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
CUST00019,Male,0,Yes,Yes,54,Yes,Yes,Fiber optic,No,No internet service,No internet service,No,No internet service,No,One year,No,Credit card (automatic),94.24,8,No
CUST00020,Female,1,No,No,57,No,Yes,No,No,Yes,Yes,Yes,No internet service,No internet service,Month-to-month,No,Electronic check,94.24,8,No
CUST00021,Male,0,No,Yes,36,Yes,Yes,DSL,Yes,No internet service,No internet service,No internet service,No,No internet service,Two year,No,Bank transfer (automatic),94.24, ,No
CUST00022,Female,0,Yes,No,15,Yes,No,Fiber optic,No internet service,No,No internet service,No internet service,No,No,Month-to-month,No,Electronic check,94.24,8,No
CUST00023,Female,1,No,No,69,Yes,No,Fiber optic,No,No internet service,No,No,No internet service,No,Two year,Yes,Credit card (automatic),94.24,8,No
CUST00024,Female,0,No,Yes,72,No,No,No,No internet service,No,No internet service,No,No,No,Two year,No,Credit card (automatic),94.24,5,Yes
CUST00025,Female,0,No,Yes,36,Yes,No,No,Yes,No,No,No,No,No internet service,Month-to-month,No,Mailed check,94.24,7,No
CUST00026,Female,0,No,No,52,No,No,DSL,No,No,No internet service,No,No internet service,Yes,One year,No,Bank transfer (automatic),94.24,8,No
CUST00027,Female,0,No,No,15,Yes,No phone service,Fiber optic,No,Yes,Yes,No internet service,No internet service,No,One year,No,Bank transfer (automatic),94.24,7,No
CUST00028,Female,0,No,No,17,No,No phone service,DSL,No internet service,No,Yes,No internet service,No,No internet service,Two year,Yes,Mailed check,94.24,5,No
CUST00029,Female,0,No,Yes,18,No,No phone service,DSL,No,No internet service,No internet service,No internet service,No,No internet service,Month-to-month,Yes,Bank transfer (automatic),94.24,8,No
CUST00030,Male,0,Yes,No,43,No,No phone service,No,Yes,No,Yes,No,Yes,Yes,One year,Yes,Electronic check,94.24,.,No
CUST00031,Male,0,Yes,No,1,Yes,Yes,DSL,No internet service,Yes,No,No internet service,No,No,Two year,No,Bank transfer (automatic),94.24,.,No
CUST00032,Female,0,No,No,57,Yes,Yes,DSL,No internet service,Yes,Yes,No internet service,Yes,Yes,Two year,No,Credit card (automatic),94.24,8,No
CUST00033,Female,0,Yes,No,9,Yes,No phone service,Fiber optic,No,Yes,No,Yes,No,No,Two year,No,Electronic check,94.24,8,No
CUST00034,Female,0,No,No,45,No,No,DSL,No,Yes,No internet service,Yes,Yes,No,Month-to-month,No,Electronic check,94.24,4,No
CUST00035,Male,0,Yes,No,18,No,No phone service,Fiber optic,No,No internet service,No internet service,Yes,Yes,No,Month-to-month,No,Credit card (automatic),94.24, ,Yes
CUST00036,Female,1,No,Yes,37,Yes,No phone service,Fiber optic,No,Yes,Yes,No,No internet service,Yes,Two year,No,Mailed check,94.24,7,Yes
CUST00037,Male,0,Yes,No,36,No,Yes,DSL,No internet service,No internet service,No internet service,No,No,No internet service,One year,No,Credit card (automatic),94.24,8,No
CUST00038,Male,1,No,No,44,No,No,DSL,No internet service,Yes,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,94.24, ,No
CUST00039,Male,0,Yes,Yes,33,Yes,Yes,Fiber optic,No,Yes,No,No internet service,No internet service,No internet service,Two year,No,Mailed check,94.24,4,No
CUST00040,Male,0,Yes,Yes,1,No,No,DSL,No internet service,No internet service,No,No,No,No internet service,One year,No,Electronic check,94.24, ,Yes
CUST00041,Male,0,No,No,43,Yes,Yes,Fiber optic,Yes,No,No internet service,Yes,No internet service,No,Month-to-month,Yes,Bank transfer (automatic),94.24,4,No
CUST00042,Female,0,No,Yes,26,Yes,No phone service,DSL,No internet service,No internet service,Yes,No internet service,No internet service,Yes,Month-to-month,Yes,Electronic check,94.24,.,Yes
CUST00043,Female,0,Yes,No,47,No,No,Fiber optic,Yes,No,Yes,Yes,No internet service,No,Two year,Yes,Credit card (automatic),94.24,8,Yes
CUST00044,Female,0,Yes,Yes,6,Yes,Yes,Fiber optic,Yes,No internet service,Yes,No internet service,No internet service,No,Two year,Yes,Bank transfer (automatic),94.24,4,No
CUST00045,Female,0,No,Yes,26,No,No phone service,No,Yes,No,No internet service,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,94.24,5,No
CUST00046,Female,1,Yes,No,70,Yes,Yes,DSL,No,Yes,Yes,No internet service,No,No,Month-to-month,Yes,Mailed check,94.24,7,No
CUST00047,Male,0,No,Yes,17,Yes,Yes,Fiber optic,No internet service,No,Yes,Yes,No,Yes,Month-to-month,Yes,Mailed check,94.24,,Yes
CUST00048,Female,0,Yes,No,32,Yes,Yes,Fiber optic,Yes,No,No internet service,Yes,No internet service,No,Two year,Yes,Electronic check,94.24,7,No
CUST00049,Female,0,Yes,Yes,32,Yes,No phone service,DSL,No,Yes,No,No,No,No internet service,Month-to-month,Yes,Credit card (automatic),94.24,.,Yes
CUST00050,Male,0,No,No,24,Yes,No,DSL,No internet service,Yes,No,No internet service,Yes,No,Month-to-month,Yes,Bank transfer (automatic),94.24,7,No
CUST00051,Female,0,No,Yes,13,Yes,Yes,DSL,No internet service,No,No internet service,Yes,No internet service,No,One year,No,Electronic check,94.24,8,No
CUST00052,Male,0,No,No,37,Yes,No phone service,No,No,No,No,No,No internet service,No,Month-to-month,Yes,Mailed check,94.24,7,No
CUST00053,Female,1,Yes,No,37,No,Yes,DSL,No internet service,No internet service,Yes,No internet service,No internet service,No,Month-to-month,Yes,Mailed check,94.24,7,No
CUST00054,Male,0,Yes,No,3,Yes,No,No,No,Yes,No internet service,No,Yes,No,Month-to-month,Yes,Mailed check,94.24, ,No
CUST00055,Female,0,Yes,No,61,Yes,Yes,DSL,No,Yes,No internet service,Yes,No,Yes,Month-to-month,No,Credit card (automatic),94.24, ,No
CUST00056,Female,0,No,Yes,9,No,No phone service,No,No,Yes,No,No internet service,Yes,No internet service,Month-to-month,No,Bank transfer (automatic),94.24,,No
CUST00057,Male,0,Yes,No,34,No,Yes,DSL,No internet service,No internet service,No internet service,Yes,No,No internet service,Two year,Yes,Electronic check,94.24,.,No
CUST00058,Male,0,Yes,Yes,22,Yes,Yes,No,No,No internet service,No internet service,Yes,Yes,Yes,Month-to-month,No,Bank transfer (automatic),94.24,4,No
CUST00059,Male,0,No,Yes,64,No,No,Fiber optic,No,No,Yes,No,Yes,Yes,One year,Yes,Electronic check,94.24,8,No
CUST00060,Male,0,Yes,No,24,Yes,No,No,No internet service,No internet service,No internet service,Yes,No internet service,No,Month-to-month,Yes,Credit card (automatic),94.24,7,Yes
CUST00061,Male,0,Yes,No,52,Yes,No,No,Yes,No internet service,No internet service,No internet service,No internet service,No,Month-to-month,Yes,Electronic check,94.24,5,No
CUST00062,Male,0,No,Yes,16,No,Yes,Fiber optic,No,No internet service,No internet service,No,No internet service,No,One year,Yes,Mailed check,94.24,5,No
CUST00063,Male,0,No,Yes,56,No,No phone service,DSL,No,Yes,No internet service,Yes,Yes,Yes,One year,No,Mailed check,94.24,.,Yes
CUST00064,Male,0,No,Yes,19,Yes,Yes,Fiber optic,Yes,No,No,Yes,Yes,No,One year,Yes,Credit card (automatic),94.24, ,Yes
CUST00065,Female,0,No,No,24,No,Yes,Fiber optic,No internet service,No internet service,No internet service,Yes,No,Yes,One year,Yes,Bank transfer (automatic),94.24,8,No
CUST00066,Female,0,No,No,41,Yes,Yes,Fiber optic,No internet service,No internet service,Yes,No,Yes,No,Month-to-month,Yes,Mailed check,94.24, ,No
CUST00067,Male,1,No,Yes,44,Yes,Yes,No,No internet service,No internet service,No,No internet service,No,Yes,Month-to-month,Yes,Electronic check,94.24,5,No
CUST00068,Female,1,No,Yes,30,No,No,Fiber optic,No,Yes,No internet service,No,No internet service,No internet service,Two year,No,Mailed check,94.24,8,No
CUST00069,Female,0,No,Yes,64,Yes,No,DSL,Yes,No,No,Yes,No internet service,Yes,Month-to-month,No,Electronic check,94.24,,Yes
CUST00070,Female,0,No,No,51,No,No,No,No internet service,No,No internet service,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),94.24,7,No
CUST00071,Female,0,Yes,Yes,20,No,No,No,Yes,No internet service,No internet service,Yes,No,Yes,Two year,No,Mailed check,94.24,5,No
CUST00072,Male,0,No,Yes,29,No,No phone service,Fiber optic,No internet service,No,No,No,No,No,Month-to-month,Yes,Mailed check,94.24,7,Yes
CUST00073,Female,1,No,Yes,2,Yes,Yes,No,No,Yes,No,Yes,No internet service,No,One year,No,Electronic check,94.24,8,Yes
CUST00074,Male,0,Yes,Yes,69,Yes,Yes,DSL,No internet service,No internet service,No,No,Yes,No,Month-to-month,No,Credit card (automatic),94.24,.,No
CUST00075,Female,1,No,No,42,Yes,Yes,No,Yes,No,No,Yes,No,No,Two year,Yes,Credit card (automatic),94.24,,Yes
CUST00076,Female,1,Yes,Yes,28,No,No phone service,Fiber optic,Yes,No internet service,Yes,Yes,No,No,Month-to-month,No,Mailed check,94.24,8,No
CUST00077,Female,0,Yes,No,2,Yes,No phone service,Fiber optic,Yes,Yes,No,No,No,No internet service,Month-to-month,No,Bank transfer (automatic),94.24, ,No
CUST00078,Male,0,No,No,57,No,No,Fiber optic,No,No internet service,Yes,No,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),94.24,5,No
CUST00079,Female,0,Yes,Yes,32,No,Yes,No,No internet service,Yes,No internet service,Yes,Yes,No,One year,Yes,Credit card (automatic),94.24,8,No
CUST00080,Male,1,No,No,44,Yes,Yes,Fiber optic,No,No internet service,No internet service,No internet service,No,Yes,Month-to-month,Yes,Mailed check,94.24,7,No
CUST00081,Female,0,No,Yes,68,No,No phone service,No,No,No internet service,No,Yes,Yes,Yes,Two year,No,Credit card (automatic),94.24,4,No
CUST00082,Male,1,Yes,Yes,31,Yes,Yes,Fiber optic,Yes,No,No internet service,Yes,No,No internet service,Month-to-month,Yes,Electronic check,94.24,7,No
CUST00083,Female,0,Yes,Yes,51,No,No phone service,Fiber optic,Yes,No,Yes,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),94.24,5,No
CUST00084,Male,0,Yes,Yes,63,Yes,No,Fiber optic,No,Yes,Yes,Yes,Yes,No,Month-to-month,Yes,Credit card (automatic),94.24,7,No
CUST00085,Male,1,No,Yes,39,No,No phone service,DSL,No,Yes,No,No,No,Yes,Month-to-month,Yes,Mailed check,94.24,8,No
CUST00086,Female,0,No,No,12,No,Yes,DSL,No internet service,Yes,No,No,No internet service,Yes,Month-to-month,Yes,Credit card (automatic),94.24,,Yes
CUST00087,Male,0,Yes,No,28,Yes,No phone service,Fiber optic,Yes,No,No,No internet service,No internet service,No,Month-to-month,No,Mailed check,94.24,5,Yes
CUST00088,Female,0,No,Yes,62,Yes,No phone service,Fiber optic,Yes,No internet service,Yes,Yes,No internet service,Yes,Month-to-month,Yes,Credit card (automatic),94.24,,Yes
CUST00089,Female,0,No,No,25,Yes,No,No,Yes,Yes,No,No,No,No internet service,Month-to-month,Yes,Credit card (automatic),94.24,7,No
CUST00090,Female,0,Yes,Yes,58,Yes,Yes,No,No internet service,No internet service,Yes,Yes,No internet service,No,Month-to-month,Yes,Bank transfer (automatic),94.24,7,Yes
CUST00091,Female,0,Yes,No,48,Yes,Yes,DSL,No internet service,No internet service,Yes,No internet service,No internet service,Yes,Month-to-month,Yes,Credit card (automatic),94.24,.,Yes
CUST00092,Female,1,Yes,No,52,No,No,No,Yes,No,No internet service,No,No internet service,Yes,Two year,Yes,Electronic check,94.24,7,Yes
CUST00093,Female,1,Yes,Yes,30,No,No phone service,No,Yes,No,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),94.24,,No
CUST00094,Female,0,Yes,No,11,Yes,No phone service,No,No,No internet service,No,Yes,No internet service,No,Two year,Yes,Mailed check,94.24,8,No
CUST00095,Female,0,Yes,No,57,Yes,Yes,No,No,Yes,No,Yes,No,No internet service,Month-to-month,No,Mailed check,94.24,5,No
CUST00096,Female,0,Yes,No,35,No,No phone service,DSL,No internet service,No,No,Yes,Yes,Yes,Month-to-month,No,Electronic check,94.24,,No
CUST00097,Female,0,Yes,Yes,9,No,No,DSL,Yes,No internet service,No,No internet service,No,No,Month-to-month,Yes,Electronic check,94.24,7,Yes
CUST00098,Female,1,Yes,No,5,Yes,Yes,No,No,No,Yes,No,No,No internet service,Two year,Yes,Mailed check,94.24,,No
CUST00099,Male,0,Yes,No,6,Yes,No phone service,No,No,No internet service,No,No internet service,No,No internet service,Two year,Yes,Credit card (automatic),94.24,5,Yes
CUST00100,Male,0,No,No,30,Yes,No,DSL,Yes,No,No internet service,No,Yes,No,Month-to-month,Yes,Electronic check,94.24,7,Yes
CUST00101,Female,0,No,No,71,No,No,Fiber optic,Yes,Yes,No,Yes,Yes,Yes,Month-to-month,No,Credit card (automatic),94.24,8,No
CUST00102,Female,0,Yes,No,2,No,Yes,No,No,Yes,Yes,Yes,No internet service,No,Two year,Yes,Electronic check,94.24,5,No
CUST00103,Female,0,No,No,46,No,Yes,Fiber optic,Yes,No,No internet service,No internet service,Yes,No internet service,Two year,Yes,Credit card (automatic),94.24,7,No
CUST00104,Female,0,No,No,0,No,No phone service,No,Yes,No,No internet service,No,No,No internet service,One year,Yes,Electronic check,94.24,4,Yes
CUST00105,Female,0,No,No,44,Yes,No phone service,DSL,No internet service,No,No,Yes,No internet service,No,Two year,Yes,Mailed check,94.24,4,No
CUST00106,Female,0,No,No,53,Yes,No phone service,No,No,Yes,No internet service,Yes,Yes,No,Two year,No,Credit card (automatic),94.24,7,No
CUST00107,Female,0,No,Yes,49,Yes,No,Fiber optic,No,No,No internet service,No internet service,No,No,One year,No,Electronic check,94.24,5,No
CUST00108,Female,0,No,No,6,No,No,DSL,No internet service,Yes,No,No internet service,No internet service,No,Month-to-month,No,Credit card (automatic),94.24,.,No
CUST00109,Male,0,Yes,No,62,No,No phone service,No,No internet service,No,No,No,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),94.24,7,No
CUST00110,Female,0,Yes,No,14,Yes,Yes,No,No,No,Yes,Yes,No internet service,No,Month-to-month,Yes,Bank transfer (automatic),94.24,4,No
CUST00111,Male,0,No,No,66,Yes,No,DSL,No,No internet service,No internet service,No,No,No,Month-to-month,Yes,Electronic check,94.24,.,Yes
CUST00112,Female,0,No,No,29,No,No,No,Yes,Yes,No,No,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),94.24,8,No
CUST00113,Female,0,Yes,Yes,67,Yes,No phone service,DSL,Yes,No,No internet service,No,No,No internet service,Month-to-month,Yes,Electronic check,94.24,8,No
CUST00114,Male,0,No,Yes,35,Yes,Yes,No,No,Yes,No,No internet service,Yes,No internet service,Month-to-month,Yes,Electronic check,94.24,8,No
CUST00115,Female,1,No,Yes,66,No,No,DSL,Yes,No internet service,Yes,No,No internet service,No,One year,Yes,Bank transfer (automatic),94.24,4,No
CUST00116,Male,1,No,Yes,4,Yes,Yes,No,Yes,Yes,No,No,Yes,No,Month-to-month,No,Mailed check,94.24,7,Yes
CUST00117,Female,0,No,No,24,No,No,DSL,Yes,Yes,No,No,No internet service,Yes,Two year,Yes,Electronic check,94.24,7,No
CUST00118,Female,1,No,No,10,Yes,Yes,DSL,No internet service,Yes,Yes,No internet service,No internet service,No,Month-to-month,Yes,Electronic check,94.24,8,Yes
CUST00119,Male,0,Yes,No,71,Yes,Yes,No,No,Yes,No,No internet service,No internet service,Yes,Two year,No,Bank transfer (automatic),94.24,7,No
CUST00120,Female,0,Yes,Yes,65,Yes,No,DSL,No,Yes,Yes,Yes,No,No,One year,No,Credit card (automatic),94.24,5,Yes
CUST00121,Male,0,No,Yes,27,No,Yes,No,No,Yes,No internet service,No internet service,Yes,No internet service,Month-to-month,No,Bank transfer (automatic),94.24,.,No
CUST00122,Female,0,Yes,Yes,59,No,No,No,Yes,Yes,No internet service,No internet service,No internet service,Yes,Two year,No,Electronic check,94.24,.,No
CUST00123,Male,0,No,Yes,9,No,No,No,Yes,No,No internet service,No,No internet service,Yes,Month-to-month,No,Credit card (automatic),94.24,,No
CUST00124,Male,0,No,No,49,No,Yes,DSL,No internet service,No,No,Yes,No,No internet service,Month-to-month,No,Credit card (automatic),94.24,,No
CUST00125,Female,0,No,No,38,Yes,No,No,No internet service,Yes,Yes,No internet service,No internet service,Yes,Month-to-month,No,Bank transfer (automatic),94.24,5,No
CUST00126,Female,0,No,Yes,36,No,Yes,DSL,No,Yes,No,Yes,No,No,One year,Yes,Credit card (automatic),94.24,7,Yes
CUST00127,Male,0,No,No,62,Yes,No,Fiber optic,No internet service,No,No,No,No internet service,Yes,Two year,No,Mailed check,94.24,8,No
CUST00128,Female,1,No,Yes,60,Yes,Yes,Fiber optic,No internet service,No internet service,No,No internet service,Yes,No internet service,Two year,Yes,Mailed check,94.24,.,No
CUST00129,Female,0,No,Yes,37,Yes,No,Fiber optic,Yes,No,Yes,No,No,No,One year,No,Mailed check,94.24,7,No
CUST00130,Female,0,No,Yes,32,Yes,No,No,No,No internet service,No,No,No,Yes,One year,Yes,Electronic check,94.24, ,Yes
CUST00131,Male,0,No,Yes,44,Yes,No phone service,DSL,No,Yes,No,Yes,No internet service,No,Month-to-month,No,Bank transfer (automatic),94.24,,Yes
CUST00132,Male,0,Yes,No,43,Yes,No,No,No internet service,Yes,Yes,No internet service,Yes,Yes,Month-to-month,No,Bank transfer (automatic),94.24, ,No
CUST00133,Male,0,No,No,0,Yes,No,DSL,Yes,No,Yes,Yes,No internet service,No internet service,Month-to-month,Yes,Electronic check,94.24,,No
CUST00134,Male,0,Yes,Yes,52,No,Yes,Fiber optic,No internet service,No,No internet service,No,No,Yes,Two year,Yes,Electronic check,94.24,8,Yes
CUST00135,Male,0,Yes,Yes,46,Yes,Yes,Fiber optic,No internet service,No,Yes,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),94.24,.,Yes
CUST00136,Male,0,No,No,32,No,Yes,Fiber optic,No,Yes,No internet service,No,Yes,No,Two year,No,Electronic check,94.24,8,Yes
CUST00137,Male,0,Yes,No,66,Yes,Yes,No,Yes,No,No internet service,Yes,No,No,Two year,No,Bank transfer (automatic),94.24,8,No
CUST00138,Male,0,No,Yes,14,No,No phone service,No,No internet service,No,No,Yes,Yes,No,Month-to-month,No,Credit card (automatic),94.24,.,No
CUST00139,Male,0,No,Yes,13,Yes,No phone service,DSL,No internet service,No internet service,No,No,Yes,Yes,Month-to-month,No,Credit card (automatic),94.24,,Yes
CUST00140,Female,0,No,Yes,22,No,Yes,DSL,Yes,Yes,No,Yes,No,No internet service,Two year,No,Credit card (automatic),94.24,4,Yes
CUST00141,Male,0,No,Yes,53,Yes,Yes,Fiber optic,No internet service,Yes,No,Yes,Yes,Yes,One year,Yes,Bank transfer (automatic),94.24,7,Yes
CUST00142,Female,0,Yes,Yes,7,No,Yes,No,No,Yes,No,No,No internet service,No internet service,Month-to-month,Yes,Electronic check,94.24,5,Yes
CUST00143,Female,1,Yes,No,53,No,Yes,No,No internet service,No,No,No internet service,No,No internet service,Two year,No,Electronic check,94.24,,No
CUST00144,Female,1,No,No,35,No,No,DSL,No,Yes,No,No internet service,Yes,No,Month-to-month,No,Electronic check,94.24,8,No
CUST00145,Male,1,Yes,Yes,51,Yes,Yes,DSL,No,No,No internet service,No internet service,Yes,No internet service,One year,No,Electronic check,94.24,5,Yes
CUST00146,Male,0,Yes,Yes,5,Yes,No,No,No,No internet service,No internet service,No,No internet service,Yes,Two year,Yes,Electronic check,94.24, ,No
CUST00147,Male,0,Yes,Yes,27,No,Yes,No,No,Yes,No,No,No internet service,No,Two year,Yes,Electronic check,94.24,8,No
CUST00148,Male,0,No,Yes,49,No,No phone service,DSL,No,No internet service,No,Yes,No internet service,No internet service,One year,Yes,Bank transfer (automatic),94.24,5,No
CUST00149,Female,0,Yes,No,37,Yes,No phone service,No,No,No internet service,No internet service,No internet service,No internet service,Yes,Month-to-month,Yes,Mailed check,94.24,.,Yes
CUST00150,Male,0,Yes,No,29,Yes,Yes,No,No internet service,Yes,No internet service,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,94.24,.,No
CUST00151,Male,0,Yes,Yes,72,Yes,No phone service,Fiber optic,Yes,Yes,Yes,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),94.24,7,No
CUST00152,Male,1,No,No,53,Yes,No phone service,No,No internet service,No,Yes,No internet service,Yes,No internet service,One year,No,Bank transfer (automatic),94.24,4,Yes
CUST00153,Male,0,Yes,Yes,70,Yes,No phone service,No,Yes,No internet service,No,No,No,No internet service,Month-to-month,Yes,Bank transfer (automatic),94.24,.,No
CUST00154,Male,1,Yes,Yes,45,No,No phone service,No,No internet service,No internet service,No,Yes,Yes,No,Month-to-month,Yes,Bank transfer (automatic),94.24,7,No
CUST00155,Female,0,No,No,27,No,No,DSL,Yes,No,No,Yes,No,No,Month-to-month,No,Electronic check,94.24,8,No
CUST00156,Male,0,Yes,Yes,16,No,No,Fiber optic,No internet service,Yes,No internet service,No,Yes,No,Month-to-month,No,Credit card (automatic),94.24,,No
CUST00157,Female,0,No,No,47,No,No,DSL,No,No internet service,No,No,No internet service,No,Two year,Yes,Credit card (automatic),94.24,8,No
CUST00158,Male,0,No,Yes,43,Yes,No,Fiber optic,Yes,No,No,No internet service,Yes,Yes,Month-to-month,No,Bank transfer (automatic),94.24,8,No
CUST00159,Female,0,No,Yes,59,Yes,Yes,Fiber optic,No internet service,No internet service,No,No,No,No,Two year,Yes,Mailed check,94.24,.,Yes
CUST00160,Male,0,No,Yes,59,No,No phone service,No,No,No internet service,Yes,Yes,No internet service,No internet service,Month-to-month,No,Electronic check,94.24,5,No
CUST00161,Male,0,No,Yes,4,Yes,No phone service,Fiber optic,No internet service,No,Yes,Yes,Yes,No internet service,Two year,Yes,Mailed check,94.24, ,Yes
CUST00162,Female,0,No,No,68,Yes,Yes,Fiber optic,Yes,No internet service,No,No,No,No internet service,One year,No,Credit card (automatic),94.24,7,Yes
CUST00163,Female,1,Yes,Yes,69,No,Yes,No,No internet service,No,No internet service,No,Yes,Yes,One year,No,Mailed check,94.24,7,No
CUST00164,Female,0,No,No,6,No,No,No,No internet service,No,Yes,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),94.24,8,No
CUST00165,Male,1,Yes,No,52,Yes,No,Fiber optic,No,No internet service,No,Yes,No,Yes,Two year,Yes,Mailed check,94.24,7,No
CUST00166,Female,0,Yes,Yes,16,No,No phone service,DSL,No,No internet service,Yes,Yes,No internet service,No internet service,Month-to-month,Yes,Electronic check,94.24,,No
CUST00167,Male,0,No,No,58,Yes,Yes,Fiber optic,No,Yes,No internet service,Yes,No,No,Month-to-month,Yes,Bank transfer (automatic),94.24,7,No
CUST00168,Male,0,Yes,Yes,8,No,No phone service,DSL,Yes,Yes,No internet service,No,No internet service,Yes,Month-to-month,No,Electronic check,94.24,7,Yes
CUST00169,Female,0,Yes,No,21,Yes,Yes,DSL,No,No internet service,No internet service,Yes,No,Yes,Month-to-month,Yes,Credit card (automatic),94.24,7,No
CUST00170,Female,0,Yes,No,44,No,No,Fiber optic,Yes,Yes,No internet service,No,No,Yes,One year,No,Credit card (automatic),94.24,8,Yes
CUST00171,Male,0,No,Yes,72,Yes,No phone service,DSL,No,Yes,No,No internet service,Yes,No internet service,One year,No,Electronic check,94.24,.,No
CUST00172,Male,0,Yes,Yes,58,Yes,No phone service,Fiber optic,No,No,No internet service,No,No internet service,No,Month-to-month,No,Mailed check,94.24,4,No
CUST00173,Female,0,Yes,No,12,Yes,Yes,DSL,No,No internet service,No,No internet service,Yes,No internet service,Month-to-month,Yes,Mailed check,94.24,7,No
CUST00174,Female,0,No,Yes,11,No,No phone service,DSL,No,Yes,No internet service,No internet service,No internet service,Yes,One year,Yes,Electronic check,94.24,8,No
CUST00175,Female,0,Yes,Yes,35,Yes,No,Fiber optic,Yes,Yes,No,No,No internet service,No,Month-to-month,Yes,Bank transfer (automatic),94.24,4,No
CUST00176,Male,0,Yes,No,9,Yes,No phone service,No,Yes,Yes,No internet service,No internet service,Yes,Yes,Two year,Yes,Electronic check,94.24,8,No
CUST00177,Male,0,Yes,No,15,No,Yes,No,Yes,No internet service,No,No,No,Yes,Two year,Yes,Mailed check,94.24,7,Yes
CUST00178,Male,0,No,Yes,18,No,No phone service,Fiber optic,No,No,Yes,Yes,No internet service,No internet service,Two year,No,Credit card (automatic),94.24,8,No
CUST00179,Male,0,Yes,No,5,Yes,No,Fiber optic,No,No internet service,No,No,No,No internet service,Month-to-month,No,Credit card (automatic),94.24,4,No
